"[run number]","file-name","initial-meetings-pct","alpha","iterations-multiplier","lambda","threshold","[step]","res-ari","res-p","res-r","res-s","length (remove-duplicates [label-id] of turtles)"
"1","glass.csv","0.5","0.1","75","0.999","0.01","16050","0.1939938187635855","0.341175114496664","0.32654319987205216","0.06254950775692976","9"
"11","glass.csv","0.5","0.1","75","0.999","0.01","16050","0.2008728994655616","0.3363554474038985","0.32581703962568176","0.07249264160158571","8"
"19","glass.csv","0.5","0.1","75","0.999","0.01","16050","0.16166908675487607","0.3068027536839425","0.3061304712429415","0.05102836460106661","9"
"18","glass.csv","0.5","0.1","75","0.999","0.01","16050","0.16380697965919352","0.2834330057599919","0.3006529643153748","0.13078321729172462","8"
"14","glass.csv","0.5","0.1","75","0.999","0.01","16050","0.2043537269042733","0.35952334352163334","0.37595422490296193","0.12952876913485786","7"
"17","glass.csv","0.5","0.1","75","0.999","0.01","16050","0.211001000275732","0.3860561630485356","0.3638065179578255","0.14782140310181985","8"
"12","glass.csv","0.5","0.1","75","0.999","0.01","16050","0.1695792486033641","0.2996484764238444","0.305861480595055","0.0681785857111764","6"
"15","glass.csv","0.5","0.1","75","0.999","0.01","16050","0.21116370851056648","0.33991654734172927","0.3358994286278635","0.04180127198981645","8"
"16","glass.csv","0.5","0.1","75","0.999","0.01","16050","0.19571944197924065","0.3574544005074796","0.32191415116129446","0.07707061248033371","9"
"13","glass.csv","0.5","0.1","75","0.999","0.01","16050","0.21827870488019033","0.3778944504884277","0.36713521484363154","0.19702660685572054","7"
"20","glass.csv","0.5","0.1","75","0.999","0.01","16050","0.18771193949219908","0.3215382713126265","0.312102145430149","-0.020983939875409013","9"
"21","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.16285531077062596","0.3164890738361159","0.31655494460433","0.04347025982283315","8"
"27","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.16525409432938362","0.2633584588239146","0.30465213397102625","0.11745355515087261","5"
"24","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.18444289182697773","0.31700095363585823","0.3099832436729844","0.11671248047424737","7"
"26","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.18854456671967743","0.29994752212690357","0.31189804185336334","0.07142567411669422","6"
"23","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.14123626531701333","0.24117970565746855","0.25967175427396727","0.04281084659715252","6"
"25","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.18903533674532974","0.3089159560100241","0.3262011208469751","0.0945433094457149","6"
"22","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.19642918544461938","0.3106662520208178","0.3392724642427087","0.17174466777768724","6"
"28","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.20784739146234205","0.3519597232472684","0.35282583982115434","0.09718071353207937","7"
"29","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.18939793473030114","0.2879843756837781","0.35387425140857676","0.0854026507851629","5"
"33","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.1638375280192072","0.33072381547191415","0.3452811698809853","0.10643155507304242","7"
"30","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.19469321587008692","0.3287758851958668","0.34250383774167015","0.1093659959441265","6"
"32","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.19561161117743517","0.33872483307066503","0.3494322927733001","0.09117220735947172","6"
"31","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.18443711182590283","0.329647760565451","0.32729356611552","0.07070050961210982","7"
"34","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.14898920233956411","0.2884625474027892","0.3125035970980409","0.07009765341529713","6"
"35","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.1688581108282829","0.3112446616289143","0.30318299149360006","0.06083945598672813","7"
"36","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.16582954938910244","0.2382102499411208","0.32271241647130766","0.1327436439875859","5"
"43","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.18066010444115085","0.33787582014165585","0.32221137421117746","0.054276685936477616","7"
"39","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.21814255523473502","0.3775366102448939","0.4174660806654426","0.18479998236322917","6"
