"[run number]","file-name","initial-meetings-pct","alpha","iterations-multiplier","lambda","threshold","[step]","res-ari","res-p","res-r","res-s","length (remove-duplicates [label-id] of turtles)"
"7","iris.csv","0.5","0.05","10","0.995","0.01","1500","0.27198258069502895","0.721100221224436","0.33241772983179657","-0.15100698055303186","14"
"2","iris.csv","0.25","0","10","0.995","0.01","1500","0.21053451768739287","0.7405188472332382","0.29853698498533776","-0.19328921915035463","19"
"5","iris.csv","0.1","0.05","10","0.995","0.01","1500","0.2548077877230238","0.7346520793178446","0.34268250294976926","-0.18766000024478624","12"
"6","iris.csv","0.25","0.05","10","0.995","0.01","1500","0.1977991131826364","0.7215328245085498","0.3194151856577384","-0.23254315347176965","18"
"4","iris.csv","1","0","10","0.995","0.01","1500","0.1602309366196347","0.7294474209578241","0.28776147911728533","-0.2455737645293536","21"
"8","iris.csv","1","0.05","10","0.995","0.01","1500","0.19826501690017026","0.7324893650086444","0.31559373253925344","-0.14460601715856092","15"
"3","iris.csv","0.5","0","10","0.995","0.01","1500","0.13567381872874615","0.7824257752702293","0.28687019166319133","-0.2470905819904856","23"
"1","iris.csv","0.1","0","10","0.995","0.01","1500","0.12498632164202825","0.7345912610264073","0.2699031960373009","-0.29132675351322324","23"
"9","iris.csv","0.1","0.1","10","0.995","0.01","1500","0.22779758323679208","0.7351959320840237","0.32553984952577014","-0.2076856084572543","16"
"14","iris.csv","0.25","0.2","10","0.995","0.01","1500","0.22638353526490992","0.6820086073192816","0.3191714856742673","-0.18846111411335226","14"
"10","iris.csv","0.25","0.1","10","0.995","0.01","1500","0.18029860677895612","0.6876744531934477","0.3039801432331293","-0.19308769950936688","15"
"15","iris.csv","0.5","0.2","10","0.995","0.01","1500","0.4282723733594424","0.7226690026055861","0.3992807673297631","-0.10476699789400959","10"
"13","iris.csv","0.1","0.2","10","0.995","0.01","1500","0.21616101010001657","0.6576750801025529","0.3050731985396658","-0.26057072229233086","15"
"11","iris.csv","0.5","0.1","10","0.995","0.01","1500","0.21617314026035597","0.713545556660714","0.3051141270572792","-0.19545448538617216","16"
"17","iris.csv","0.1","0.5","10","0.995","0.01","1500","0.32276682303933973","0.6947540411656279","0.3323844364530064","-0.13532510958393146","13"
"12","iris.csv","1","0.1","10","0.995","0.01","1500","0.2263943977436548","0.6412109814637094","0.3360023399723126","-0.24012925788348524","13"
"18","iris.csv","0.25","0.5","10","0.995","0.01","1500","0.19449835701788076","0.7695315350876742","0.30440351619112216","-0.1814099239153743","19"
"19","iris.csv","0.5","0.5","10","0.995","0.01","1500","0.16668351223325045","0.6901217914529606","0.2914707391389916","-0.22781618411176202","17"
"21","iris.csv","0.1","1","10","0.995","0.01","1500","0.1042492143735483","0.7202673133565584","0.2501467168462965","-0.22844481201530323","27"
"16","iris.csv","1","0.2","10","0.995","0.01","1500","0.28815530020836727","0.7120173217502608","0.3194007626854043","-0.22394671823351436","16"
"20","iris.csv","1","0.5","10","0.995","0.01","1500","0.32737137354505563","0.7085685476636995","0.3531013325808043","-0.09503422649113426","12"
"22","iris.csv","0.25","1","10","0.995","0.01","1500","0.16915781506634195","0.7743429977688198","0.3005696427410913","-0.2582057973827636","20"
"23","iris.csv","0.5","1","10","0.995","0.01","1500","0.17602811620739728","0.6310669468210857","0.27204803333067173","-0.21003897209741335","16"
"24","iris.csv","1","1","10","0.995","0.01","1500","0.14270683097832504","0.6912641413342173","0.2679232319444833","-0.2703242924092406","22"
"25","iris.csv","0.1","0","25","0.995","0.01","3750","0.18893626149679565","0.634604243078988","0.28071530534087974","-0.17319012916642273","14"
"26","iris.csv","0.25","0","25","0.995","0.01","3750","0.1706827908333582","0.6675339029146745","0.30334487146238415","-0.19190300180390893","14"
"27","iris.csv","0.5","0","25","0.995","0.01","3750","0.1668648574797213","0.6788420563737165","0.28825946475950087","-0.22495853749232453","16"
"29","iris.csv","0.1","0.05","25","0.995","0.01","3750","0.31348286857227353","0.6232111327245724","0.3562812593700662","-0.10717798176467098","8"
"30","iris.csv","0.25","0.05","25","0.995","0.01","3750","0.5580092287409361","0.7486824162122667","0.5441632512536883","-0.018295451373241713","7"
"31","iris.csv","0.5","0.05","25","0.995","0.01","3750","0.50216383373865","0.6549550900414083","0.5072753468115534","0.28553417319633095","5"
"28","iris.csv","1","0","25","0.995","0.01","3750","0.13167646828589083","0.6234883099412527","0.2735547015402155","-0.22255774167268488","16"
"33","iris.csv","0.1","0.1","25","0.995","0.01","3750","0.46665730854601123","0.64810186360945","0.45061616792926806","0.12279427386563029","7"
"34","iris.csv","0.25","0.1","25","0.995","0.01","3750","0.5253134717214578","0.6291214352399186","0.5471651544681141","0.27863059443269816","5"
"32","iris.csv","1","0.05","25","0.995","0.01","3750","0.5336662688277602","0.6919934943333403","0.6063555892661461","0.3160327744048374","5"
"37","iris.csv","0.1","0.2","25","0.995","0.01","3750","0.5719797280947573","0.6604003888004172","0.5988771066519941","0.12376932104665411","6"
"38","iris.csv","0.25","0.2","25","0.995","0.01","3750","0.46128264311679046","0.6977084130915138","0.5415752521147725","0.02704876946544212","6"
"35","iris.csv","0.5","0.1","25","0.995","0.01","3750","0.5367309343402769","0.6889239773877698","0.5478452288565586","0.08133179165307891","7"
"36","iris.csv","1","0.1","25","0.995","0.01","3750","0.5410697499122765","0.6497556932939014","0.5214789829287184","0.3125833665787514","4"
"39","iris.csv","0.5","0.2","25","0.995","0.01","3750","0.4263747286177156","0.6550917347142701","0.5470695428582096","-0.12305388460364815","8"
"41","iris.csv","0.1","0.5","25","0.995","0.01","3750","0.5320406365578177","0.65576201354142","0.52667371857539","0.2540535225774435","5"
"42","iris.csv","0.25","0.5","25","0.995","0.01","3750","0.3516648053935559","0.6588178084089992","0.47071422311316813","-0.1945792403020902","9"
"40","iris.csv","1","0.2","25","0.995","0.01","3750","0.5477260895066","0.6685640380058693","0.5937435415190538","0.11737752323356167","7"
"45","iris.csv","0.1","1","25","0.995","0.01","3750","0.16159773634768668","0.6934004296255564","0.2874549518419008","-0.2603384656343876","17"
"46","iris.csv","0.25","1","25","0.995","0.01","3750","0.1972616576129083","0.635117058073918","0.30996506766591614","-0.21812051067140967","14"
"43","iris.csv","0.5","0.5","25","0.995","0.01","3750","0.5614033657849445","0.650185938327101","0.5906950169106899","0.3125243228084221","4"
"44","iris.csv","1","0.5","25","0.995","0.01","3750","0.5311087316044464","0.6673485393605589","0.5184788724854785","0.23286665749934998","6"
"47","iris.csv","0.5","1","25","0.995","0.01","3750","0.15571783528271013","0.6931056155239442","0.2950648541368801","-0.21716737206883285","16"
"48","iris.csv","1","1","25","0.995","0.01","3750","0.2508776676264647","0.6546207169146145","0.31954494611266465","-0.29791931726030924","14"
"49","iris.csv","0.1","0","75","0.995","0.01","11250","0.33694807896439516","0.6885971556021905","0.366576098250014","-0.16882518699290305","10"
"50","iris.csv","0.25","0","75","0.995","0.01","11250","0.2818711159726966","0.6104109533525605","0.31826908711645513","-0.19980578422959483","11"
"53","iris.csv","0.1","0.05","75","0.995","0.01","11250","0.5617953403836744","0.6215032866855713","0.7532253858418052","0.4997477867465283","3"
"51","iris.csv","0.5","0","75","0.995","0.01","11250","0.301908187368209","0.6927896349129402","0.3406221667050458","-0.13804706161771085","12"
"52","iris.csv","1","0","75","0.995","0.01","11250","0.39488093188997075","0.6715215888428678","0.37657365593520264","-0.07560914030334565","10"
"54","iris.csv","0.25","0.05","75","0.995","0.01","11250","0.6869037150795322","0.7341720478896886","0.6785814266006579","0.4383635031096529","4"
"55","iris.csv","0.5","0.05","75","0.995","0.01","11250","0.5718325009604303","0.633825366473765","0.7177785868155938","0.4359749129687363","3"
"56","iris.csv","1","0.05","75","0.995","0.01","11250","0.5434632481445193","0.6233454968922194","0.6976182112054979","0.2455310857704178","5"
"57","iris.csv","0.1","0.1","75","0.995","0.01","11250","0.5393058088010915","0.635811812506357","0.6509588429675629","0.17041812088024116","7"
"58","iris.csv","0.25","0.1","75","0.995","0.01","11250","0.5380968300762848","0.6472574862823862","0.6714589490328826","0.11788899995256943","6"
"59","iris.csv","0.5","0.1","75","0.995","0.01","11250","0.5171805319387853","0.6729869696598553","0.5649687396876435","0.14609227271312394","8"
"61","iris.csv","0.1","0.2","75","0.995","0.01","11250","0.5160881102542383","0.6172791199721958","0.5481320296916838","0.20941945323693292","6"
"62","iris.csv","0.25","0.2","75","0.995","0.01","11250","0.5292899653324183","0.6606020399045025","0.625068365221682","0.22264534470050976","5"
"60","iris.csv","1","0.1","75","0.995","0.01","11250","0.5258723909878502","0.6719165281428422","0.6213371881958699","0.2169877906540546","6"
"63","iris.csv","0.5","0.2","75","0.995","0.01","11250","0.5394401078403712","0.6388316344345273","0.6807443686401089","0.26800400359916177","6"
"64","iris.csv","1","0.2","75","0.995","0.01","11250","0.5485662957086427","0.6110690974773269","0.7251097881282819","0.164531077697328","5"
"65","iris.csv","0.1","0.5","75","0.995","0.01","11250","0.7047984150250471","0.7347345720120545","0.7528855799070538","0.46451427475992724","3"
"66","iris.csv","0.25","0.5","75","0.995","0.01","11250","0.5408340438629479","0.6299924714810531","0.6864521930987708","0.10893931512831917","7"
"69","iris.csv","0.1","1","75","0.995","0.01","11250","0.2804150516407059","0.6748867319586344","0.3521760282153518","-0.16265936290929348","10"
"67","iris.csv","0.5","0.5","75","0.995","0.01","11250","0.5439246349305082","0.661906867545512","0.6041813692211581","0.1866692347456843","6"
"68","iris.csv","1","0.5","75","0.995","0.01","11250","0.5307757255383195","0.6644066184730554","0.6028416939035405","0.19630327634547348","7"
"71","iris.csv","0.5","1","75","0.995","0.01","11250","0.286970484540957","0.6301957054355153","0.3301698612441048","-0.12429419126474395","11"
"70","iris.csv","0.25","1","75","0.995","0.01","11250","0.3194478639924749","0.6338391521241107","0.3595389424934196","-0.043219813081640655","8"
"72","iris.csv","1","1","75","0.995","0.01","11250","0.2850719410252643","0.6076125254703398","0.34460147605333363","-0.15529849134286272","8"
"73","iris.csv","0.1","0","150","0.995","0.01","22500","0.34795059621174407","0.6722179570728087","0.3737322046411898","-0.1731578178230643","9"
"74","iris.csv","0.25","0","150","0.995","0.01","22500","0.3167988631263075","0.6420718739567057","0.34235269276968794","-0.16569023615476122","10"
"75","iris.csv","0.5","0","150","0.995","0.01","22500","0.29806826758202953","0.7175824391691785","0.36114025375641484","-0.10397171596951028","11"
"78","iris.csv","0.25","0.05","150","0.995","0.01","22500","0.5419910868659088","0.6433660463983781","0.6961368106895692","0.30968828930678877","5"
"77","iris.csv","0.1","0.05","150","0.995","0.01","22500","0.5183554149832107","0.7234700630424933","0.5382680026763603","0.23495985961093108","9"
"76","iris.csv","1","0","150","0.995","0.01","22500","0.48996107262529465","0.6795991501187819","0.4324205408413884","0.16504117932315954","7"
"79","iris.csv","0.5","0.05","150","0.995","0.01","22500","0.5294473916170515","0.6809858906379327","0.5780498798585166","0.21655302011663063","6"
"80","iris.csv","1","0.05","150","0.995","0.01","22500","0.5345153654715219","0.6878737025071611","0.6131096783135653","0.34043118457059307","5"
"81","iris.csv","0.1","0.1","150","0.995","0.01","22500","0.5163901933486756","0.667521299618854","0.5544674294108307","0.23399902342008932","7"
"82","iris.csv","0.25","0.1","150","0.995","0.01","22500","0.5199036304371659","0.6929890846635741","0.5804179327299946","0.10992926073961987","8"
"83","iris.csv","0.5","0.1","150","0.995","0.01","22500","0.4947765633905949","0.7034796678929466","0.5232965779741883","0.07052874801124012","9"
"84","iris.csv","1","0.1","150","0.995","0.01","22500","0.53822082474537","0.6224268949822666","0.6666855576953442","0.2158277740568478","6"
"85","iris.csv","0.1","0.2","150","0.995","0.01","22500","0.5178504046236497","0.7083462479523326","0.559781210237781","0.2028641615809781","8"
"86","iris.csv","0.25","0.2","150","0.995","0.01","22500","0.5580345378617058","0.6329923336776979","0.6386808511148565","0.36618148379274085","5"
"87","iris.csv","0.5","0.2","150","0.995","0.01","22500","0.5229418135276164","0.6761621319032557","0.6024517914641601","0.1704899631790447","7"
"88","iris.csv","1","0.2","150","0.995","0.01","22500","0.5257871204123455","0.6519165281428421","0.6078217712446348","0.2407379039165312","7"
"89","iris.csv","0.1","0.5","150","0.995","0.01","22500","0.5570436215929828","0.6248203754774193","0.7643164402343681","0.47643765245800496","4"
"97","iris.csv","0.1","0","10","0.999","0.01","1500","0.13528044400234016","0.7453667857297523","0.26995685214728854","-0.25737435201180164","25"
"98","iris.csv","0.25","0","10","0.999","0.01","1500","0.13013572827566555","0.7223227961368202","0.2784922976223809","-0.25808773975893945","21"
"92","iris.csv","1","0.5","150","0.995","0.01","22500","0.5343810375902802","0.6405862745848839","0.6301776403953657","0.19690434091057005","5"
"91","iris.csv","0.5","0.5","150","0.995","0.01","22500","0.5373028140575015","0.6352362307853131","0.671781956162375","0.20968438334104206","5"
"90","iris.csv","0.25","0.5","150","0.995","0.01","22500","0.5011274901602107","0.6643895128191644","0.5075152434380026","0.09886362745967131","9"
"99","iris.csv","0.5","0","10","0.999","0.01","1500","0.14834356062778384","0.8215867524107083","0.3006605304020796","-0.22541050112691863","23"
"93","iris.csv","0.1","1","150","0.995","0.01","22500","0.4904836690147528","0.7151049097533981","0.42015957789001807","0.17101661978083793","9"
"102","iris.csv","0.25","0.05","10","0.999","0.01","1500","0.29196163396465263","0.7201750547520763","0.3480491862800427","-0.21997071346408564","14"
"101","iris.csv","0.1","0.05","10","0.999","0.01","1500","0.1490307137318364","0.7094509399631428","0.29423861436055493","-0.2456787698841825","18"
"94","iris.csv","0.25","1","150","0.995","0.01","22500","0.2951234676856388","0.635070513909419","0.33870621459643857","-0.19522578077363334","10"
